Area,House_prices_2011,Burglary_rate,Criminal_damage_rate,Drugs_rate,Fraud_or_Forgery_rate,Other_Notifiable_Offences_rate,Robbery_rate,Sexual_offences_rate,Theft_and_Handling_rate,Violence_Against_the_Person_rate
Barking and Dagenham,0.17,0.0127,0.0118,0.0054,0.0061,0.0019,0.0057,0.0014,0.0337,0.0220
Barnet,0.324,0.0138,0.0070,0.0035,0.0044,0.0008,0.0033,0.0009,0.0284,0.0119
Bexley,0.215,0.0064,0.0075,0.0041,0.0028,0.0007,0.0016,0.0007,0.0172,0.0120
Brent,0.3,0.0121,0.0077,0.0149,0.0041,0.0015,0.0071,0.0012,0.0281,0.0235
Bromley,0.275,0.0103,0.0087,0.0035,0.0046,0.0007,0.0024,0.0008,0.0255,0.0151
Camden,0.48,0.0156,0.0097,0.0120,0.0053,0.0016,0.0068,0.0017,0.0862,0.0255
Croydon,0.22,0.0128,0.0097,0.0065,0.0039,0.0012,0.0050,0.0013,0.0302,0.0184
Ealing,0.293,0.0114,0.0095,0.0068,0.0065,0.0016,0.0044,0.0012,0.0341,0.0215
Enfield,0.24,0.0119,0.0086,0.0050,0.0042,0.0013,0.0038,0.0010,0.0261,0.0136
Greenwich,0.25,0.0100,0.0111,0.0055,0.0040,0.0014,0.0035,0.0016,0.0320,0.0206
Hackney,0.31,0.0094,0.0085,0.0101,0.0031,0.0013,0.0048,0.0015,0.0517,0.0220
Hammersmith and Fulham,0.465,0.0139,0.0096,0.0086,0.0039,0.0023,0.0045,0.0012,0.0618,0.0241
Haringey,0.302,0.0142,0.0107,0.0064,0.0047,0.0010,0.0058,0.0014,0.0370,0.0185
Harrow,0.295,0.0109,0.0061,0.0028,0.0038,0.0010,0.0027,0.0007,0.0187,0.0120
Havering,0.22,0.0119,0.0078,0.0045,0.0038,0.0010,0.0020,0.0009,0.0277,0.0141
Hillingdon,0.249,0.0136,0.0104,0.0055,0.0029,0.0012,0.0034,0.0010,0.0302,0.0196
Hounslow,0.25,0.0108,0.0104,0.0070,0.0055,0.0017,0.0027,0.0011,0.0347,0.0214
Islington,0.399,0.0137,0.0100,0.0087,0.0032,0.0018,0.0058,0.0014,0.0635,0.0254
Kensington and Chelsea,0.79,0.0110,0.0074,0.0105,0.0049,0.0012,0.0039,0.0011,0.0718,0.0178
Kingston upon Thames,0.3,0.0083,0.0072,0.0042,0.0033,0.0008,0.0015,0.0011,0.0290,0.0137
Lambeth,0.31,0.0126,0.0102,0.0103,0.0041,0.0014,0.0103,0.0017,0.0475,0.0239
Lewisham,0.24,0.0118,0.0107,0.0081,0.0056,0.0016,0.0062,0.0016,0.0321,0.0236
Merton,0.295,0.0121,0.0085,0.0050,0.0029,0.0006,0.0033,0.0010,0.0263,0.0129
Newham,0.219,0.0105,0.0085,0.0076,0.0054,0.0015,0.0078,0.0014,0.0398,0.0211
Redbridge,0.25,0.0136,0.0085,0.0087,0.0053,0.0010,0.0042,0.0010,0.0330,0.0139
Richmond upon Thames,0.42,0.0112,0.0075,0.0032,0.0030,0.0007,0.0011,0.0009,0.0260,0.0105
Southwark,0.32,0.0118,0.0110,0.0123,0.0036,0.0018,0.0085,0.0018,0.0470,0.0230
Sutton,0.233,0.0086,0.0083,0.0030,0.0022,0.0005,0.0016,0.0011,0.0247,0.0124
Tower Hamlets,0.3,0.0108,0.0098,0.0138,0.0056,0.0018,0.0058,0.0017,0.0439,0.0225
Waltham Forest,0.23,0.0130,0.0093,0.0052,0.0046,0.0011,0.0069,0.0012,0.0389,0.0196
Wandsworth,0.39,0.0101,0.0072,0.0035,0.0025,0.0009,0.0043,0.0011,0.0330,0.0134
